,City,State,2021Estimate,2010_census,Change_percent
0,São Paulo,São Paulo,12396372,11253503,10.16
1,Rio de Janeiro,Rio de Janeiro,6775561,6320446,7.2
2,Brasília,Distrito Federal,3094325,2570160,20.39
3,Salvador,Bahia,2900319,2675656,8.4
4,Fortaleza,Ceará,2703391,2452185,10.24
5,Belo Horizonte,Minas Gerais,2530701,2375151,6.55
6,Manaus,Amazonas,2255903,1802014,25.19
7,Curitiba,Paraná,1963726,1751907,12.09
8,Recife,Pernambuco,1661017,1537704,8.02
9,Goiânia,Goiás,1555626,1302001,19.48
10,Belém,Pará,1506420,1393399,8.11
11,Porto Alegre,Rio Grande do Sul,1492530,1409351,5.9
12,Guarulhos,São Paulo,1404694,1221979,14.95
13,Campinas,São Paulo,1223237,1080113,13.25
14,São Luís,Maranhão,1115932,1014837,9.96
15,São Gonçalo,Rio de Janeiro,1098357,999728,9.87
16,Maceió,Alagoas,1031597,932748,10.6
17,Duque de Caxias,Rio de Janeiro,929449,855048,8.7
18,Campo Grande,Mato Grosso do Sul,916001,786797,16.42
19,Natal,Rio Grande do Norte,896708,803739,11.57
20,Teresina,Piauí,871126,814230,6.99
21,São Bernardo do Campo,São Paulo,849874,765463,11.03
22,João Pessoa,Paraíba,825796,723515,14.14
23,Nova Iguaçu,Rio de Janeiro,825388,796257,3.66
24,São José dos Campos,São Paulo,737310,629921,17.05
25,Santo André,São Paulo,723889,676407,7.02
26,Ribeirão Preto,São Paulo,720116,604682,19.09
27,Jaboatão dos Guararapes,Pernambuco,711330,644620,10.35
28,Uberlândia,Minas Gerais,706597,604013,16.98
29,Osasco,São Paulo,701428,666740,5.2
30,Sorocaba,São Paulo,695328,586625,18.53
31,Contagem,Minas Gerais,673849,603442,11.67
32,Aracaju,Sergipe,672614,571149,17.77
33,Feira de Santana,Bahia,624107,556642,12.12
34,Cuiabá,Mato Grosso,623614,551098,13.16
35,Joinville,Santa Catarina,604708,515288,17.35
36,Aparecida de Goiânia,Goiás,601844,455657,32.08
37,Londrina,Paraná,580870,506701,14.64
38,Juiz de Fora,Minas Gerais,577532,516247,11.87
39,Porto Velho,Rondônia,548952,428527,28.1
40,Ananindeua,Pará,540410,471980,14.5
41,Serra,Espírito Santo,536765,409267,31.15
42,Caxias do Sul,Rio Grande do Sul,523716,435564,20.24
43,Macapá,Amapá,522357,398204,31.18
44,Niterói,Rio de Janeiro,516981,487562,6.03
45,Florianópolis,Santa Catarina,516524,421240,22.62
46,Belford Roxo,Rio de Janeiro,515239,469332,9.78
47,Campos dos Goytacazes,Rio de Janeiro,514643,463731,10.98
48,Vila Velha,Espírito Santo,508655,414586,22.69
49,Mauá,São Paulo,481725,417064,15.5
50,São João de Meriti,Rio de Janeiro,473385,458673,3.21
51,São José do Rio Preto,São Paulo,469173,408258,14.92
52,Mogi das Cruzes,São Paulo,455587,387779,17.49
53,Betim,Minas Gerais,450024,378089,19.03
54,Boa Vista,Roraima,436591,284313,53.56
55,Maringá,Paraná,436472,357077,22.23
56,Santos,São Paulo,433991,419400,3.48
57,Diadema,São Paulo,429550,386089,11.26
58,Jundiaí,São Paulo,426935,370126,15.35
59,Rio Branco,Acre,419452,336038,24.82
60,Montes Claros,Minas Gerais,417478,361915,15.35
61,Campina Grande,Paraíba,413830,385213,7.43
62,Piracicaba,São Paulo,410275,364571,12.54
63,Carapicuíba,São Paulo,405375,369584,9.68
