,Arrondissement,Name,Area_km2,Population_2017,Density_km2,Population_peak,Area_sqm,Mayor,Mayor_party
0,1st(Ier) RAdministratively part of Paris Centre,Louvre,5.59,100196.0,17924.0,before 1861,2.16,Ariel Weil ,PS
1,2nd (IIe) RAdministratively part of Paris Centre,Bourse,5.59,100196.0,17924.0,before 1861,2.16,Ariel Weil ,PS
2,3rd (IIIe) RAdministratively part of Paris Centre,Temple,5.59,100196.0,17924.0,before 1861,2.16,Ariel Weil ,PS
3,4th (IVe) RAdministratively part of Paris Centre,Hôtel-de-Ville,5.59,100196.0,17924.0,before 1861,2.16,Ariel Weil ,PS
4,5th (Ve) L,Panthéon,2.541,59631.0,23477.0,1911,0.981,Florence Berthout ,DVD
5,6th (VIe) L,Luxembourg,2.154,41976.0,19524.0,1911,0.832,Jean-Pierre Lecoq ,LR
6,7th (VIIe) L,Palais-Bourbon,4.088,52193.0,12761.0,1926,1.578,Rachida Dati ,LR
7,8th (VIIIe) R,Élysée,3.881,37368.0,9631.0,1891,1.498,Jeanne d'Hauteserre ,LR
8,9th (IXe) R,Opéra,2.179,60071.0,27556.0,1901,0.841,Delphine Bürkli ,DVD
9,10th (Xe) R,Entrepôt,2.892,90836.0,31431.0,1881,1.117,Alexandra Cordebard ,PS
10,11th (XIe) R,Popincourt,3.666,147470.0,40183.0,1911,1.415,François Vauglin ,PS
11,12th (XIIe) R,Reuilly,16.324,141287.0,21729.0,1962,2.462,Emmanuelle Pierre-Marie ,The Greens
12,13th (XIIIe) L,Gobelins,7.146,183399.0,25650.0,20055,2.759,Jérôme Coumet ,PS
13,14th (XIVe) L,Observatoire,5.621,136941.0,24280.0,1954,2.17,Carine Petit ,Gt.s
14,15th (XVe) L,Vaugirard,8.502,235178.0,27733.0,1962,3.283,Philippe Goujon ,LR
15,16th (XVIe) R,Passy,16.305,149500.0,19054.0,1962,3.029,Francis Szpiner ,LR
16,17th (XVIIe) R,Batignolles-Monceau,5.669,168737.0,29760.0,1954,2.189,Geoffroy Boulard ,LR
17,18th (XVIIIe) R,Butte-Montmartre,6.005,196131.0,32634.0,1931,2.319,Éric Lejoindre ,PS
18,19th (XIXe) R,Buttes-Chaumont,6.786,188066.0,27697.0,20055,2.62,François Dagnaud ,PS
19,20th (XXe) R,Ménilmontant,5.984,191800.0,32052.0,1936,2.31,Éric Pliez ,DVG
